module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation accuracy,accuracy drop,trial seed
1,1,conv1,[33  1  6  3],-6.0,122.0,72.87789957249252,2.319653326535814,8676
86,2,layer3.1.conv3,[629  64   0   0],-12.0,116.0,69.36018351550737,3.517716056985151,8676
15,3,layer1.0.downsample.0,[195  32   0   0],-13.0,115.0,57.40504715098066,11.955136364526716,8676
71,4,layer3.0.conv1,[ 65 290   0   0],-5.0,123.0,44.277338769889866,13.127708381090791,8676
131,5,layer4.0.downsample.0,[1836  629    0    0],-5.0,123.0,38.949783327140096,5.3275554427497696,8676
142,6,layer4.2.conv1,[ 289 1836    0    0],-1.0,127.0,23.502421615137727,15.447361712002369,8676
7,7,layer1.0.conv1,[ 0 32  0  0],21.0,-107.0,9.380576089241053,14.121845525896674,8676
43,8,layer2.0.downsample.0,[290 195   0   0],11.0,75.0,1.7588580168238592,7.621718072417194,8676
15,9,layer1.0.downsample.0,[195  43   0   0],-7.0,121.0,0.1274534794799898,1.6314045373438695,8676
